season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,WR,00-0034960,Jakobi Meyers,29.1,14.025,12.002,12.687,2.887,10.725,21.465,15.075,16.413,17.098,-1.338,-2.023
2023,1,WR,00-0035215,Deonte Harty,4.3,0.825,2.407,3.77,0.001,2.703,11.104,3.475,0.53,1.893,2.945,1.582
2023,1,WR,00-0035216,Diontae Johnson,7.8,11.175,14.141,13.854,3.993,10.779,23.871,3.375,6.054,6.341,-2.679,-2.966
2023,1,WR,00-0035298,Scott Miller,0.0,0.875,0.93,0.281,-0.192,-0.039,2.684,0.875,0.281,0.93,0.594,-0.055
2023,1,WR,00-0035406,Lil'Jordan Humphrey,9.1,1.0,2.674,3.717,-0.023,2.652,11.49,8.1,5.383,6.426,2.717,1.674
2023,1,WR,00-0035500,Greg Dortch,0.0,9.075,3.733,-0.356,-0.113,-0.025,5.357,9.075,0.356,3.733,8.719,5.342
2023,1,WR,00-0035535,Darius Slayton,4.5,6.7,8.7,8.77,1.664,7.318,18.399,2.2,4.27,4.2,-2.07,-2.0
2023,1,WR,00-0035639,Parris Campbell,1.2,7.075,9.069,9.429,1.659,7.874,19.75,5.875,8.229,7.869,-2.354,-1.994
2023,1,WR,00-0035640,DK Metcalf,13.7,8.975,11.994,13.208,3.001,11.009,23.376,4.725,0.492,1.706,4.233,3.019
2023,1,WR,00-0035659,Terry McLaurin,5.1,13.2,13.405,14.762,3.585,10.608,22.226,8.1,9.662,8.305,-1.562,-0.205
2023,1,WR,00-0035662,Marquise Brown,8.7,7.125,8.636,8.375,1.998,6.994,18.031,1.575,0.325,0.064,1.25,1.511
2023,1,WR,00-0035676,A.J. Brown,14.9,19.15,15.609,14.276,4.073,12.584,24.75,4.25,0.624,0.709,3.626,3.541
2023,1,WR,00-0035719,Deebo Samuel Sr.,11.3,9.6,11.193,9.734,2.383,8.086,21.523,1.7,1.566,0.107,0.134,1.593
2023,1,WR,00-0036165,Isaiah Hodgins,1.4,15.15,11.419,10.85,2.85,9.344,21.712,13.75,9.45,10.019,4.3,3.731
2023,1,WR,00-0036182,Nick Westbrook-Ikhine,9.8,1.425,5.437,5.793,0.922,4.211,14.698,8.375,4.007,4.363,4.368,4.012
2023,1,WR,00-0036196,Gabe Davis,5.2,8.525,11.076,12.631,2.813,10.618,22.801,3.325,7.431,5.876,-4.106,-2.551
2023,1,WR,00-0036233,Donovan Peoples-Jones,2.2,7.2,9.548,8.936,1.549,7.188,18.778,5.0,6.736,7.348,-1.736,-2.348
2023,1,WR,00-0036252,Michael Pittman,23.7,13.75,13.863,15.022,4.856,11.118,24.702,9.95,8.678,9.837,1.272,0.113
2023,1,WR,00-0036259,Jauan Jennings,0.0,4.7,6.154,6.623,0.122,4.922,16.802,4.7,6.623,6.154,-1.923,-1.454
2023,1,WR,00-0036261,Brandon Aiyuk,32.9,13.4,13.349,13.389,3.726,10.263,22.039,19.5,19.511,19.551,-0.011,-0.051
